location_name,latitude,longitude,timestamp,temperature_2m,relative_humidity_2m,precipitation_probability,precipitation,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,weather_code,weather_description,hour,date,dayofweek,month,flyability_score,fly_label,risk_level
An Giang,10.5216,105.1259,2026-05-19 06:00:00,26.5,87,15,0.1,88,6440.0,13.2,20.9,51,Mua phun nhe,6,2026-05-19,1,5,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-19 07:00:00,27.0,87,22,0.3,93,4420.0,14.3,27.0,51,Mua phun nhe,7,2026-05-19,1,5,0.7,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-19 08:00:00,28.2,84,35,0.4,98,6840.0,12.9,27.4,51,Mua phun nhe,8,2026-05-19,1,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-19 09:00:00,29.8,76,52,0.2,95,10840.0,16.6,33.8,51,Mua phun nhe,9,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 10:00:00,28.9,80,67,1.9,98,2940.0,19.3,40.3,80,Mua rao nhe,10,2026-05-19,1,5,0.35,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 11:00:00,29.5,80,79,1.1,99,4540.0,15.0,37.8,55,Mua phun day,11,2026-05-19,1,5,0.35,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 12:00:00,29.6,79,88,0.6,98,8260.0,16.6,36.0,53,Mua phun vua,12,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 13:00:00,31.2,71,94,0.2,98,11280.0,17.6,37.4,51,Mua phun nhe,13,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 14:00:00,31.2,68,96,0.1,100,10480.0,18.7,39.2,51,Mua phun nhe,14,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 15:00:00,31.4,66,94,0.1,99,14440.0,18.2,36.4,51,Mua phun nhe,15,2026-05-19,1,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-19 16:00:00,31.1,66,86,0.0,98,18800.0,18.4,34.9,3,Nhieu may,16,2026-05-19,1,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-19 17:00:00,30.6,67,68,0.0,99,27680.0,16.5,34.2,3,Nhieu may,17,2026-05-19,1,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 06:00:00,25.3,96,74,0.5,95,6820.0,6.5,14.8,53,Mua phun vua,6,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 07:00:00,25.8,93,82,0.3,97,4100.0,11.9,23.4,51,Mua phun nhe,7,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 08:00:00,26.5,90,83,0.7,100,3880.0,11.3,24.1,53,Mua phun vua,8,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 09:00:00,27.8,88,81,0.6,97,6860.0,10.9,25.2,53,Mua phun vua,9,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 10:00:00,28.9,84,80,0.3,100,8340.0,11.4,25.2,51,Mua phun nhe,10,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 11:00:00,30.1,78,84,0.2,94,6860.0,12.3,27.7,51,Mua phun nhe,11,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-20 12:00:00,31.2,72,90,0.2,98,12340.0,15.9,33.1,95,Dong,12,2026-05-20,2,5,0.35,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 13:00:00,32.1,67,94,0.1,98,17140.0,15.9,33.5,51,Mua phun nhe,13,2026-05-20,2,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 14:00:00,30.4,75,96,0.6,98,4280.0,16.7,39.6,53,Mua phun vua,14,2026-05-20,2,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 15:00:00,27.5,87,96,1.2,93,4740.0,12.1,35.6,55,Mua phun day,15,2026-05-20,2,5,0.35,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 16:00:00,28.1,85,92,0.3,100,18680.0,14.5,28.8,51,Mua phun nhe,16,2026-05-20,2,5,0.4,NO_FLY,HIGH
An Giang,10.5216,105.1259,2026-05-20 17:00:00,28.4,86,81,0.0,100,12700.0,10.0,28.1,3,Nhieu may,17,2026-05-20,2,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-21 06:00:00,24.5,96,77,1.1,97,5380.0,8.1,14.4,55,Mua phun day,6,2026-05-21,3,5,0.55,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-21 07:00:00,25.0,94,76,0.2,100,6320.0,10.5,19.4,51,Mua phun nhe,7,2026-05-21,3,5,0.6,NO_FLY,MEDIUM
An Giang,10.5216,105.1259,2026-05-21 08:00:00,26.2,90,70,0.2,100,10480.0,11.4,24.5,51,Mua phun nhe,8,2026-05-21,3,5,0.6,NO_FLY,MEDIUM
